Date,Close,Open,High,Low,volume
04-02-2022,1947.95,1948.00,1957.80,1923.30,1440816.00
07-02-2022,1884.50,1932.50,1947.50,1874.55,2641464.00
08-02-2022,1875.60,1890.00,1896.95,1848.00,2040523.00
09-02-2022,1888.80,1884.50,1899.90,1875.60,1390810.00
10-02-2022,1901.00,1892.00,1911.00,1881.00,1288856.00
11-02-2022,1871.25,1889.00,1889.00,1850.00,1744894.00
14-02-2022,1799.00,1843.25,1846.95,1795.00,2290199.00
15-02-2022,1876.05,1810.00,1882.00,1806.15,2602134.00
16-02-2022,1860.70,1876.05,1887.30,1842.15,1898439.00
17-02-2022,1868.70,1869.00,1884.90,1854.10,1459905.00
18-02-2022,1883.10,1870.00,1896.00,1865.15,1912482.00
21-02-2022,1863.95,1874.95,1883.90,1848.85,1262585.00
22-02-2022,1844.45,1813.00,1855.00,1800.50,2288298.00
23-02-2022,1820.30,1849.00,1852.00,1816.15,1583872.00
24-02-2022,1757.35,1783.25,1800.00,1751.00,3616355.00
25-02-2022,1777.05,1782.00,1798.70,1765.00,2476882.00
28-02-2022,1816.75,1764.90,1822.25,1752.80,2553662.00
02-03-2022,1784.50,1800.00,1826.95,1768.50,3152628.00
03-03-2022,1752.30,1810.00,1813.55,1745.55,2259979.00
04-03-2022,1711.75,1740.00,1754.05,1703.00,3906819.00
07-03-2022,1634.45,1658.25,1666.80,1605.55,6318251.00
08-03-2022,1658.50,1627.90,1666.00,1595.00,4421730.00
09-03-2022,1690.95,1676.50,1699.80,1650.05,3306502.00
10-03-2022,1728.20,1740.00,1758.00,1707.00,2776325.00
11-03-2022,1728.65,1720.00,1735.45,1705.80,1577597.00
14-03-2022,1746.75,1735.00,1754.00,1715.50,1558334.00
15-03-2022,1743.45,1748.00,1765.00,1726.60,2062332.00
16-03-2022,1756.20,1761.00,1770.65,1746.20,2101909.00
17-03-2022,1787.90,1781.15,1804.60,1768.45,3383036.00
21-03-2022,1756.30,1805.00,1805.00,1745.00,2301462.00
22-03-2022,1774.05,1756.30,1777.00,1721.15,3986030.00
23-03-2022,1767.25,1780.00,1791.55,1759.15,1574226.00
24-03-2022,1771.55,1755.00,1779.70,1751.00,1580887.00
25-03-2022,1751.10,1775.60,1777.90,1739.00,1483897.00
28-03-2022,1741.60,1752.00,1755.00,1725.10,1799629.00
