Date,close,Open,High,Low,Volume
04-02-2022,134.20,137.00,137.45,133.90,7213085.00
07-02-2022,135.15,134.20,136.35,134.20,10562489.00
08-02-2022,135.00,135.45,135.65,132.80,8721631.00
09-02-2022,135.05,135.30,135.60,133.85,5144026.00
10-02-2022,136.45,135.15,136.85,134.30,6081460.00
11-02-2022,137.15,134.45,137.70,134.45,8426925.00
14-02-2022,132.50,134.70,136.45,131.80,7705072.00
15-02-2022,135.35,132.10,135.80,130.65,12674466.00
16-02-2022,133.20,134.90,136.70,132.85,12946623.00
17-02-2022,132.75,134.50,134.90,132.45,5811964.00
18-02-2022,132.35,132.75,134.10,131.90,6760078.00
21-02-2022,131.95,132.40,134.15,131.15,12212740.00
22-02-2022,132.10,131.05,132.50,127.90,13578566.00
23-02-2022,130.20,132.00,133.45,129.85,9263264.00
24-02-2022,124.40,127.00,129.00,123.65,18045779.00
25-02-2022,130.35,125.00,131.00,125.00,10424521.00
28-02-2022,133.50,128.95,133.95,128.80,13262687.00
02-03-2022,130.95,132.80,135.00,130.45,12587947.00
03-03-2022,132.10,132.10,133.45,130.25,15628119.00
04-03-2022,130.20,132.00,133.35,129.75,15883138.00
07-03-2022,130.05,129.00,130.50,126.90,14985637.00
08-03-2022,133.75,130.50,135.80,130.50,28572640.00
09-03-2022,131.50,133.95,133.95,131.10,14286413.00
10-03-2022,132.95,132.90,135.00,131.95,13101323.00
11-03-2022,131.95,132.90,133.40,131.50,8669803.00
14-03-2022,132.15,131.95,132.90,130.75,5670284.00
15-03-2022,131.05,131.30,132.95,130.65,6895190.00
16-03-2022,132.75,132.40,133.00,131.55,5561866.00
17-03-2022,132.90,133.50,134.30,131.90,13995384.00
21-03-2022,132.90,132.90,133.40,131.70,9172207.00
22-03-2022,132.85,133.30,134.15,131.75,10343712.00
23-03-2022,133.45,132.90,133.75,132.20,11892811.00
24-03-2022,135.40,133.50,135.70,133.35,11276181.00
25-03-2022,134.75,136.00,136.15,134.20,7266868.00
28-03-2022,134.80,135.50,135.50,133.80,7778682.00
29-03-2022,134.35,135.00,135.30,133.90,5116935.00
30-03-2022,135.30,135.00,135.95,133.45,24047012.00
31-03-2022,135.00,134.30,135.60,134.30,11615450.00
01-04-2022,142.95,138.00,143.45,136.80,32589741.00
04-04-2022,144.30,141.85,146.00,141.50,15437496.00
05-04-2022,149.10,145.40,150.60,144.75,23958626.00
06-04-2022,153.00,150.35,155.30,148.30,52737388.00
07-04-2022,153.50,152.95,158.00,152.20,37738903.00
08-04-2022,152.05,154.90,154.90,151.20,17585569.00
11-04-2022,153.10,152.45,154.60,151.85,15583159.00
12-04-2022,152.60,152.70,153.60,150.85,11306524.00
13-04-2022,153.95,153.05,156.20,152.75,19454061.00
18-04-2022,163.20,154.90,163.75,154.50,82098517.00
19-04-2022,160.65,164.90,166.35,159.50,38522118.00
20-04-2022,160.50,162.15,163.20,159.00,20047692.00
21-04-2022,162.70,161.60,163.40,160.35,21966151.00
22-04-2022,160.45,161.25,163.00,159.85,9922564.00
25-04-2022,156.10,158.60,160.90,155.40,12008027.00
26-04-2022,157.00,157.60,158.45,156.00,11735823.00
27-04-2022,155.65,156.80,159.60,155.20,17873048.00
28-04-2022,159.70,158.00,160.10,155.25,29123808.00
29-04-2022,156.20,160.40,161.00,155.70,28941216.00
02-05-2022,157.50,154.60,158.35,153.00,13368198.00
04-05-2022,158.65,158.00,161.90,157.30,24511385.00
05-05-2022,158.40,159.60,160.75,157.00,33396072.00
06-05-2022,159.00,156.45,160.35,156.05,22604305.00
09-05-2022,159.00,158.95,159.80,155.95,22958742.00
10-05-2022,155.45,158.95,161.25,154.50,20322427.00
11-05-2022,152.55,154.05,156.95,150.05,13794764.00
12-05-2022,148.55,151.10,153.00,148.00,11818556.00
13-05-2022,144.15,150.00,150.00,143.50,22913410.00
16-05-2022,148.25,143.40,148.90,141.65,16286682.00
17-05-2022,150.50,147.50,150.75,146.30,13925542.00
18-05-2022,148.50,150.50,150.90,147.20,17611218.00
19-05-2022,148.00,147.50,148.55,145.75,11701170.00
20-05-2022,149.60,150.95,150.95,147.65,17841739.00
23-05-2022,150.15,154.40,155.35,148.40,26055890.00
24-05-2022,146.90,150.15,151.85,146.30,16581141.00
25-05-2022,152.65,148.40,153.15,147.40,19926619.00
26-05-2022,154.15,153.15,155.10,150.60,22698086.00
27-05-2022,150.45,155.00,155.00,149.50,10245727.00
30-05-2022,150.90,150.05,152.50,148.80,12513990.00
31-05-2022,156.00,151.10,158.00,150.35,124665699.00
01-06-2022,156.80,156.45,160.20,156.25,16084988.00
02-06-2022,159.05,155.50,159.30,154.25,17646975.00
03-06-2022,155.00,159.00,159.45,154.70,14063328.00
06-06-2022,155.20,155.80,158.65,154.60,18485464.00
07-06-2022,157.25,155.20,157.70,153.50,14911957.00
08-06-2022,157.05,156.10,159.75,156.10,16416591.00
09-06-2022,155.15,155.30,158.00,154.70,13821409.00
10-06-2022,155.25,154.10,156.60,154.00,7908849.00
13-06-2022,148.90,154.00,154.90,147.75,19208167.00
14-06-2022,151.40,148.90,152.45,148.90,17034328.00
15-06-2022,148.15,152.55,153.70,147.55,15172295.00
16-06-2022,142.95,150.10,150.15,142.00,18494040.00
17-06-2022,140.45,141.10,144.45,139.55,21387729.00
20-06-2022,137.25,140.45,141.40,135.00,16578770.00
21-06-2022,139.95,138.20,141.25,137.75,51398446.00
22-06-2022,137.65,139.95,139.95,136.55,8317317.00
23-06-2022,136.50,137.90,139.15,135.65,11257409.00
24-06-2022,136.60,137.90,137.90,134.95,21879039.00
27-06-2022,138.50,137.25,139.05,136.75,12872030.00
28-06-2022,138.60,138.50,139.30,137.15,14272044.00
29-06-2022,141.75,137.80,143.10,136.80,53487394.00
30-06-2022,142.90,142.30,143.95,141.15,19270932.00
01-07-2022,140.65,142.00,143.20,139.75,9592229.00
04-07-2022,141.40,139.35,142.20,139.35,17526429.00
05-07-2022,140.85,141.40,144.25,140.20,11370649.00
06-07-2022,138.95,141.50,142.00,136.10,15929985.00
07-07-2022,140.45,140.00,142.75,139.50,18144208.00
08-07-2022,143.70,141.00,144.20,141.00,15375888.00
11-07-2022,144.80,144.00,147.00,143.60,16779135.00
12-07-2022,147.10,144.05,148.10,144.05,19138561.00
13-07-2022,148.60,147.75,149.35,147.50,13644449.00
14-07-2022,148.30,149.00,149.30,147.00,9775869.00
15-07-2022,149.75,148.45,150.15,148.15,11518139.00
18-07-2022,149.80,151.40,151.55,149.30,8286352.00
19-07-2022,150.75,149.80,151.20,149.25,6798359.00
20-07-2022,150.55,152.10,152.25,150.15,7271345.00
21-07-2022,150.85,151.00,151.25,150.00,7521568.00
22-07-2022,148.95,151.00,151.40,148.15,6800124.00
25-07-2022,150.10,149.20,150.45,147.35,7996687.00
26-07-2022,150.00,150.00,150.95,149.15,5774871.00
27-07-2022,149.70,149.55,150.55,149.05,5403197.00
28-07-2022,150.35,150.05,150.95,149.05,6030744.00
29-07-2022,152.95,150.95,154.45,150.45,11771461.00
01-08-2022,156.50,152.90,157.70,151.00,14221965.00
02-08-2022,159.55,157.10,160.10,156.55,18278835.00
03-08-2022,159.65,160.05,160.95,157.20,10147608.00
04-08-2022,154.70,159.70,160.50,153.05,15754128.00
05-08-2022,155.60,154.40,157.15,153.00,33864055.00
08-08-2022,159.40,155.50,160.00,154.95,16964235.00
10-08-2022,155.75,156.90,157.15,155.00,14055597.00
11-08-2022,153.65,156.20,156.85,152.85,15810624.00
12-08-2022,158.50,153.70,159.00,152.60,17998843.00
16-08-2022,158.75,159.00,159.80,156.95,8309725.00
17-08-2022,161.45,159.00,163.65,159.00,19674110.00
18-08-2022,160.80,161.45,162.65,159.90,9585888.00
